name,releaseDate,released
0.9.0,2006-08-26,true
0.9.6,2006-11-29,true
0.9.7,2007-04-27,true
0.9.7-r547073,,false
1.0.0,2007-08-28,true
1.0.1,2007-11-09,true
1.0.2,2008-02-18,true
1.0.3,2008-07-23,true
1.0.4,2010-09-03,true
1.1.0,2008-05-22,true
1.2.0,2008-08-12,true
1.2.1,2009-03-18,true
1.2.2,2010-01-18,true
1.2.3,2013-04-17,true
1.3.0,,false
2.0.0-M1,2009-01-29,true
2.0.0-M2,2009-06-03,true
2.0.0-M3,2009-10-12,true
2.0.0-beta,2010-01-28,true
2.0.0-beta2,2010-02-27,true
2.0.0-beta3,2010-03-29,true
2.0.0,2010-04-22,true
2.0.1,2010-08-30,true
2.0.2,,false
2.1.0,2011-02-21,true
2.1.1,2011-07-25,true
2.1.2,,false
2.2.0,2012-02-20,true
2.2.1,2012-11-01,true
2.2.2,2013-04-22,true
2.2.1.1,,false
2.2.3,,false
2.3.0,2013-11-24,true
2.4.0,2015-04-22,true
2.4.1,2016-02-21,true
2.4.2,2017-01-03,true
2.4.3,2018-06-12,true
3.0.0,2018-06-12,true
2.4.4,,false
3.1.0,2019-04-14,true
3.1.1,2020-02-03,true
3.1.2,2020-07-13,true
3.2.0,2021-05-14,true
3.2.1,2022-02-03,true
3.2.2,2022-03-16,true
3.2.3,,false
4.0.0,2024-02-02,true
4.0.1,2024-09-19,true
4.1.0,2025-03-24,true
4.1.1,2025-05-15,true
4.1.2,,false
